location	time_start	time_end	comment	author	optional_anchor
Hawaii	2015-02-11T14:20:05.813Z	2015-02-11T14:20:10.133Z	Is this a duck quacking, or maybe a robot whale? Turns out these funny sounding beeps throughout the recordings actually have to do with the recording equipment.	Class Workshop	
Hawaii	2015-02-11T14:21:28.879Z	2015-02-11T14:25:15.781Z	These shapes reminded us of looking at an ancient alphabet.	Class Workshop	
Hawaii	2015-02-11T15:19:50.512Z	2015-02-11T15:19:55.954Z	Check out this backwards F shape. It sounds like two whales might be harmonizing!	Class Workshop	
Hawaii	2015-02-11T15:26:21.014Z	2015-02-11T15:26:31.350Z	Neat upward woop sounds repeated 7 times here.	Class Workshop	
Hawaii	2015-02-11T15:26:45.639Z	2015-02-11T15:26:50.998Z	Sounds a lot like an elephant.	Class Workshop	
Hawaii	2015-02-11T15:26:54.830Z	2015-02-11T15:26:58.302Z	The high-pitched squeaky sounds here are so interesting. Is that the whale producing those high sounds?	Class Workshop	
Hawaii	2015-02-17T04:55:18.597Z	2015-02-17T05:34:20.541Z	Does anyone know what causes this long, high-frequency glow?	Class Workshop	
Hawaii	2015-02-25T04:25:35.670Z	2015-02-25T04:26:21.105Z	See the upward bloop sounds? It's so interesting that the whale does 2 bloops, then 3, then 4, then 5, in sequence.	Class Workshop	
Hawaii	2014-12-06T05:13:06.654Z	2014-12-06T05:13:50.684Z	The humpback whales have arrived in Hawaii for breeding season! Zoom in to see the detailed spectrogram and to listen to distant singing. 	Annie Lewandowski	
Hawaii	2015-01-28T16:21:18.908Z	2015-01-28T16:22:21.167Z	Humpback whale song is composed of several unique themes that are constantly evolving as they are being sung. Listen to the phrase that is repeated within the theme here: a few, broad-spectrum upsweep sound units are followed by two sound units that each include a sustain and small sweep in frequency, the first of these at a mid-range frequency and the second at a higher-range frequency. Do you hear the slight differences with each repetition of the phrase? That's the individual voice and spontaneity of the composer! 	Annie Lewandowski	annie_first_theme
Hawaii	2015-01-28T16:22:22.167Z	2015-01-28T16:23:40.192Z	Notice how the theme we’ve been listening to changes here into something transitional, containing elements of the theme we just heard, and foreshadowing the theme that’s about to come. 	Annie Lewandowski	
Hawaii	2015-01-28T16:23:41.192Z	2015-01-28T16:28:41.192Z	The new theme! We hear a single, longer broad-spectrum upsweep, followed by a low-mid range sound unit that oscillates in pitch, which is followed by a high squeal. Again, notice how the articulation of all three sound units that make up this phrase are not exact with repetition. Can you describe the ways in which each sound unit is flexible? Notice the freedom within the structure.	Annie Lewandowski	annie_new_theme
Hawaii	2015-01-28T16:30:20.700Z	2015-01-28T16:32:24.281Z	Do you hear that familiar upsweep in the distance? Another whale! When breeding season is in full swing, a hydrophone can pick up (and your ears underwater can hear!) an asynchronous, barnyard chorus of male humpback whales singing. All male humpback whales within a population sing a similar, evolving song -  remarkable evidence of horizontal cultural transmission in a non-human.	Annie Lewandowski	
Hawaii	2015-01-28T16:33:24.281Z	2015-01-28T16:36:23.120Z	This is sound from a large ocean vessel covering the whole frequency spectrum of the humpback whale song. Marine scientist Chris Clark calls this cacophony of human-made noise [“acoustic bleaching”]( https://e360.yale.edu/features/how_ocean_noise_pollution_wreaks_havoc_on_marine_life) and it’s a real threat to the survival of humpback whales. These marine mammals can’t see beyond the length of their own bodies and use sound to facilitate diverse aspects of their survival.	Annie Lewandowski	
Hawaii	2015-01-28T17:25:39.240Z	2015-01-28T17:29:19.902Z	More acoustic bleaching from ship noise. While ship noise is a major concern, of even greater concern is seismic air gun blasting. Ocean exploration for oil and gas involves firing loud pressurized blasts of air through the ocean and into the seafloor every ten seconds creating a storm of noise [“six or seven orders of magnitude greater than the loudest ship sounds”]( https://e360.yale.edu/features/how_ocean_noise_pollution_wreaks_havoc_on_marine_life)	Annie Lewandowski	
Hawaii	2015-01-28T17:29:20.902Z	2015-01-28T17:30:07.754Z	As you hear the ship noise lessen here, can you hear the theme from earlier in the afternoon [at 16:31](#annie_new_theme) emerge?  	Annie Lewandowski	annie_second_theme
Hawaii	2015-01-28T17:31:07.754Z	2015-01-28T17:35:48.335Z	The next theme enters, composed of two sound units – one broad-spectrum upsweep followed by a mid-range sound unit that oscillates slightly, often bending up or down in pitch at the tail of the sound. 	Annie Lewandowski	annie_third_theme
Hawaii	2015-01-28T17:35:49.335Z	2015-01-28T17:36:28.228Z	This is where the transitional material begins – it contains elements of both the preceding and succeeding themes.	Annie Lewandowski	
Hawaii	2015-01-28T17:36:29.228Z	2015-01-28T17:38:53.605Z	Following the transitional material, here we begin listening to the solid statement of the next theme -  a short sustained sound (slightly higher in frequency than the lowest frequency of the former theme’s upsweep), followed by my favorite rumble-into-exasperation sound	Annie Lewandowski	
Hawaii	2015-01-28T17:38:54.605Z	2015-01-28T17:40:42.749Z	And the next theme! Two low grunts followed by 3-5 upsweeps	Annie Lewandowski	
Hawaii	2015-01-28T17:40:43.749Z	2015-01-28T17:41:32.093Z	This next theme is a real dazzler which points to whale behavior. This new theme is composed of  high squeals and “popcorn.” While I was in Hawaii in February 2019 with the Hawai’i Marine Mammal Consortium and Katy Payne, I learned that the “popcorn” sounds that you hear are the sounds the singing whale when he comes up to the surface to breathe. Do you hear the sound attenuate (weaken) as he gets nearer the surface?	Annie Lewandowski	
